Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People‰Ûªs Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1993,17.859,48.717,49.652,22.742,11.4,33.04783617,22.437,21.526,18.41,,19.132,14.7,12,23.7,47.442,12,45.093,47.109,32.454,10,26.412,23.199,13.718,11.5,34.061,13.7,33.859,23.252,15.355,27.811,34.927,32.606,41.509,13.6,11.81865121,12.1,12.983,21.06,18.09,42.404,43.525,46.086,37.899,26.101,40.567,37.246,25.014,23.44104197,14.965,,17.59208356,17.731,11.7,9.8,38.131,,13,28.261,27.863,20.21968531,30.3155315,19.28393314,15.23822877,13.20506538,28.611,30.11,10.93440887,37.389,9.8,10.2,46.701,11.43887979,39.79557853,12.8,27.793,13,16.6,32.772,36.492,13.2,15.562,38.594,,47.142,45.986,45.148,41.607,9.7,24.146,21.4,38.419,24.076,28.16,13.42668922,12,37.45,44.66509176,10.6,35.331,11.3,23.0821524,26.52118392,40.22514813,39.93212034,23.983,40.37488472,,29.792,,13.8,25.419,37.219,17.5,21.3,9.7,24.315,34.336,9.6,19.26,40.542,25.7,37.251,35.126,,16,21.129,25.79187321,40.792,26.835,44.306,26.092,25.796,25.49987855,41.10051169,43.72394748,13.8,19.527,30.88721862,26.63275404,32.759,18.45650446,12.9,13.5,10.4,14.91,20.7,26.817,,15.607,44.104,34.747,29.9135144,27.134,,25.13655993,16.289,48.852,13.9,25.889,29.9912305,15.532,26.872,,45.049,39.286,20.3,45.711,27.063,15.22078486,36.056,23.5,55.074,43.69,33.007,12.8,13.8,37.062,,16.53,14.60453478,32.803,31.08165487,39.687,25.272,28.316,31.754,21.7,34.534,12.9,44.58678673,17.9,20.499,11.4,31.689,44.14,31.77028518,12.57714979,25.558,20.938,11,9.4,44.576,31.21412614,32.671,41.418,41.457,16.8,38.495,46.006,30.016,,49.817,,43.10374137,46.462,43.10116705,29.36133715,39.618,26.718,13.8,9.9,13.5,36.601,,23.4,33.57,,51.344,20.21610699,14.97679837,40.194,17.863,37.093,31.95,25.82348792,42.019,29.85848377,30.695,31.21412614,43.10116705,17.666,22.432,24.283,,42.93,49.796,10.7,19.78023807,18.029,15.4,31.5,23.683,26.922,,20.9,25.618,35.262,24.18162927,32.192,22.5,49.224,27.055,45.376,33.705
1994,17.27,48.77,49.378,21.902,10.9,32.28643228,21.282,21.214,17.172,,19.344,14.5,11.6,21.4,46.555,11.5,44.733,47.026,31.653,9.4,25.553,22.743,13.445,10.8,33.427,14.5,33.349,22.826,15.126,27.055,33.81,31.894,41.42,13.1,11.32663286,11.9,13.07,20.471,17.7,42.205,43.094,46.082,37.968,25.628,39.972,35.717,24.181,22.9966456,14.59,,16.95131684,17.121,10.3,9.5,37.21,21.6,13.4,27.762,26.361,19.77233196,29.69798167,18.91294574,14.86824176,12.84133917,28.214,29.256,10.56535575,35.892,9.4,9.7,46.482,11.08401152,39.58145877,12.8,27.362,12.5,15,32.466,36.069,13,14.957,38.168,,46.761,45.515,44.597,41.534,9.9,22.935,20.5,38.129,23.718,28.056,13.16559763,11.9,37.156,44.4563167,10.4,34.757,11.2,22.61343754,26.09415989,39.79938166,39.42103492,23.406,39.99250645,13.7,29.258,,13.4,23.52,37.083,16.7,21.2,9.4,24.001,33.961,10,18.93,40.28,24.3,35.62,34.429,,16,21.358,25.32397662,39.68,26.397,44.115,25.153,24.933,25.03258589,40.73660822,43.47693769,11.7,19.231,30.33312168,26.20563026,32.163,18.05495057,11.6,13.5,9.6,13.771,20.1,25.981,,14.821,43.95,32.474,28.84839366,26.604,,24.67374526,15.749,48.847,12.9,25.541,28.91095656,15.193,25.265,,45.078,39.056,19.6,45.18,26.662,14.81131566,35.432,22.5,54.914,43.556,32.031,12.7,13.9,36.553,,15.95,14.3423805,31.196,30.5526655,39.053,25.016,27.486,31.369,22.3,34.55,12.5,44.41977782,17.5,20.308,10.9,31.109,43.78,31.38438294,12.31400562,24.568,20.635,10.9,9.5,43.802,30.68021497,31.593,41.227,41.109,16.2,37.969,45.774,29.538,,50.1,,42.8422563,46.096,42.83965132,28.85667557,39.508,26.246,12.4,9.8,12.8,35.837,,22.9,33.108,,51.399,19.76545565,14.6053884,39.926,17.396,35.971,30.413,25.34971944,41.717,28.76823783,30.267,30.68021497,42.83965132,16.851,21.401,23.9,,42.592,49.716,10,19.35947387,17.837,15,29.4,23.246,26.368,,19.8,24.273,34.951,23.80378627,32.007,21.8,47.704,26.107,45.324,33.067
1995,16.691,48.835,49.113,21.02,11,31.50174549,20.21,20.881,15.991,,19.555,14.2,11.2,18.9,45.702,11.4,44.356,46.939,30.897,8.6,24.77,22.131,13.185,9.9,32.791,13.3,32.84,22.424,14.896,26.238,32.694,31.231,41.376,12.6,10.51743481,11.7,13.096,19.818,17.12,42.029,42.691,46.073,38.069,25.094,39.435,34.126,23.352,22.56793902,14.302,,14.86293918,16.446,9.3,9.4,36.164,,13.3,27.239,24.884,19.19360234,29.1400928,18.36472969,14.4622805,12.51158773,27.82,28.526,10.43719373,34.524,9.1,9.4,46.245,10.76536422,39.3805824,12.3,26.898,12.8,14.8,32.172,35.613,12.6,14.366,37.77,,46.362,45.009,44.047,41.494,9.6,21.882,19.7,37.767,23.439,27.867,12.83146918,11.2,36.835,44.24792209,10.9,34.211,10.8,22.05173301,25.60581028,39.46385177,39.11311438,22.877,39.64267222,,28.749,,13.5,21.9,36.953,16,21.1,9.2,23.672,33.554,9.54,17.46,40.196,25.6,34.079,33.696,19.4,15.7,21.885,24.86485081,38.417,25.795,43.982,24.322,24.034,24.57040667,40.37965491,43.22154462,13.8,18.971,29.84731291,25.72316114,31.682,17.46103632,11.4,13.3,8.7,12.789,19.5,25.155,,14.153,43.725,30.239,27.84922162,26.096,,24.15404095,15.2,48.826,12.2,25.277,27.93890689,14.86,23.841,,45.074,38.865,18.3,44.78,26.179,14.40150764,34.773,21.9,54.734,43.449,31.063,12.3,13.8,35.985,,15.77,13.99438564,29.743,30.00219229,38.375,24.781,26.667,31.016,23.2,34.577,11.2,44.26910376,17,20.034,10.7,30.524,43.42,30.98774186,11.99614654,23.626,20.391,10.4,9.3,43.089,30.16219104,30.529,40.993,40.776,15.6,37.458,45.52,28.982,,50.264,11.3,42.60928338,45.703,42.60649417,28.36183486,39.431,25.764,11.5,9.5,11.7,35.083,,21,32.772,,51.414,19.18280938,14.13463343,39.762,16.913,34.925,28.84,24.88048208,41.299,27.78673524,29.762,30.16219104,42.60649417,16.17,20.479,23.553,,42.289,49.603,9.6,18.78277341,17.604,14.6,29.8,22.765,25.854,,18.7,22.842,34.632,23.36708118,31.854,22.1,46.095,25.276,45.302,32.56
1996,16.132,48.87,48.87,20.106,10.9,30.8345909,19.253,20.545,14.947,,19.741,13.9,11.2,16.6,44.926,11.5,43.965,46.843,30.181,8.6,24.069,21.357,12.889,9.4,32.168,13.9,32.334,22.022,14.672,25.412,31.573,30.646,41.369,12,10.32663227,11.7,13.036,19.124,16.98,41.864,42.336,46.06,38.186,24.52,38.959,32.556,22.527,22.11175063,14.074,,16.3427304,15.735,8.8,9.7,35.071,19.1,12.9,26.707,23.475,18.93420144,28.59008374,18.11516496,13.89837092,12.25806038,27.413,27.903,10.51750318,33.414,9.1,9.4,45.95,10.76552142,39.17965341,11.8,26.418,12.8,15.5,31.852,35.134,12.6,13.8,37.382,,45.948,44.489,43.516,41.47,9.5,20.987,18.8,37.344,23.206,27.58,12.70346951,9.9,36.445,44.03040021,11.8,33.691,10.2,21.6862363,25.26334888,39.04367452,38.60487683,22.435,39.26737592,11.6,28.262,,13.9,20.581,36.808,16.1,21.3,9.3,23.304,33.131,9.6,16.25,40.226,23.2,32.643,32.961,19.7,15,22.504,24.40611405,37.056,25.032,43.871,23.601,23.07,24.11133792,40.02361668,42.94887768,13.1,18.759,29.35264527,25.37709443,31.332,17.16977742,10.8,13.7,8.1,11.931,18.9,24.375,,13.565,43.409,28.099,27.01029873,25.611,26.1,23.78202077,14.666,48.801,13.3,25.089,27.08419066,14.547,22.605,,45.045,38.706,18.3,44.495,25.571,14.16227662,34.056,22.3,54.534,43.369,30.124,12.2,13.9,35.321,,15.34,13.86168529,28.432,29.61029337,37.66,24.55,25.877,30.7,20.2,34.581,11.1,44.12956258,16.9,19.686,11,29.907,43.06,30.43009691,11.875021,22.763,20.191,10.2,8.9,42.41,29.65563546,29.514,40.725,40.449,15.2,36.982,45.25,28.323,,50.283,10.8,42.4018123,45.27,42.39909504,27.9459215,39.402,25.294,11.2,9.4,10.8,34.361,,21.1,32.512,,51.391,18.92453073,13.62781308,39.695,16.417,33.95,27.347,24.41008825,40.843,26.92321587,29.248,29.65563546,42.39909504,15.635,19.668,23.219,,42.041,49.455,9.2,18.48286781,17.344,14.4,27.3,22.238,25.384,,17.6,21.421,34.319,23.07823225,31.698,22.4,44.49,24.572,45.307,32.185
1997,15.598,48.833,48.652,19.173,11.2,30.21717205,18.41,20.229,14.092,,19.879,13.6,10.5,16.8,44.251,11.4,43.564,46.732,29.493,7.7,23.431,20.464,12.523,8.9,31.567,,31.83,21.601,14.462,24.625,30.441,30.159,41.378,11.6,10.1235006,11.4,12.884,18.421,16.57,41.699,42.032,46.043,38.307,23.935,38.534,31.076,21.703,21.71876715,13.861,,15.93314763,15.023,8.8,9.9,34.012,21.5,12.8,26.184,22.187,18.5025242,28.07859653,17.70958071,13.46574168,12.03803371,26.981,27.352,10.56142969,32.634,9.2,9,45.564,10.73291341,38.96901217,11.5,25.948,12.7,15.1,31.481,34.651,12.5,13.269,36.986,,45.523,43.978,43.021,41.438,9.6,20.213,19.6,36.883,22.967,27.208,12.5487097,9.1,35.959,43.79520474,12.2,33.191,9.8,21.25844148,24.87449739,38.64169685,38.15778829,22.103,38.88848321,,27.789,,14.4,19.528,36.63,15.3,21.4,9.4,22.887,32.72,9.5,15.15,40.282,21.6,31.309,32.255,20.5,14.4,23.008,23.94710832,35.669,24.143,43.737,22.975,22.033,23.64753362,39.66270847,42.65248291,13.9,18.604,28.89468799,24.98737975,31.107,16.73308701,10.6,13.1,7.7,11.133,18.4,23.677,,13.001,42.998,26.094,26.27111759,25.148,,23.36467727,14.168,48.783,12.7,24.954,26.34047975,14.268,21.532,,45.001,38.564,17.4,44.276,24.827,13.94301062,33.28,22.3,54.314,43.308,29.238,12.3,13.6,34.542,,15.23,13.70181893,27.225,29.10029511,36.919,24.308,25.132,30.415,18.3,34.539,10.7,43.99194107,16.2,19.289,11.2,29.237,42.7,30.140682,11.72186732,21.984,20.013,10.5,8.6,41.736,29.15386081,28.577,40.438,40.129,14.5,36.552,44.97,27.568,,50.154,10.49,42.20345965,44.786,42.2005553,27.48559458,39.418,24.85,11,9.1,10.2,33.704,,19.1,32.27,,51.333,18.49241103,13.20692465,39.697,15.92,33.023,26.026,23.93938622,40.422,26.17135166,28.804,29.15386081,42.2005553,15.236,18.949,22.874,,41.854,49.276,8.7,18.06033383,17.075,14.2,25.5,21.678,24.949,,17.2,20.106,34.029,22.74830243,31.505,20.6,42.977,23.983,45.325,31.926
1998,15.09,48.688,48.46,18.238,11.9,29.64974476,17.675,19.945,13.457,,19.95,13.3,10.2,15.7,43.696,11.2,43.161,46.601,28.821,7.9,22.835,19.507,12.072,9.2,30.99,,31.326,21.147,14.27,23.908,29.302,29.778,41.385,11.4,9.832819419,11.1,12.647,17.742,15.64,41.519,41.779,46.022,38.416,23.361,38.151,29.74,20.885,21.23561697,13.628,,14.53333333,14.347,8.8,9.6,33.048,16.2,12.5,25.683,21.073,17.73082537,27.59120738,16.97908896,13.28155141,11.86441581,26.517,26.845,10.47400035,32.222,9.1,8.8,45.067,10.58786084,38.77646185,11.1,25.509,12.8,14,31.037,34.183,12.3,12.788,36.567,,45.089,43.497,42.572,41.378,9.4,19.531,17.5,36.401,22.684,26.766,12.38364924,8.1,35.361,43.53718583,10.4,32.707,9.5,20.70463826,24.3867654,38.24212395,37.6926145,21.89,38.52251567,,27.324,,14.5,18.7,36.407,15.2,21.9,9.4,22.42,32.342,9.6,14.75,40.289,21.7,30.085,31.609,,13.6,23.248,23.48246098,34.327,23.173,43.544,22.435,20.93,23.18140782,39.29429839,42.3307456,12.6,18.508,28.46844476,24.5005102,30.986,16.01608649,10.4,12.7,7.6,10.356,17.9,23.085,,12.426,42.498,24.271,25.63348239,24.702,,22.84290583,13.721,48.776,12.1,24.844,25.69485989,14.029,20.608,,44.947,38.427,16.7,44.084,23.959,14.01422425,32.465,21.2,54.076,43.259,28.424,12.7,13.2,33.645,,14.51,13.59094307,26.1,28.66419808,36.168,24.044,24.448,30.148,15.1,34.432,10.2,43.84871332,15.7,18.866,11.2,28.513,42.1,29.74491237,11.63940075,21.29,19.829,10.5,8.8,41.049,28.65334876,27.736,40.145,39.818,13.1,36.173,44.682,26.734,,49.888,10.09,42.00683676,44.253,42.00382642,27.06350551,39.468,24.442,10.7,9,10.1,33.137,,17.9,32.002,,51.241,17.71623838,12.97794307,39.737,15.433,32.14,24.943,23.46506675,40.077,25.52404581,28.482,28.65334876,42.00382642,14.96,18.311,22.506,,41.73,49.07,8.4,17.40123456,16.814,14.3,23.4,21.103,24.541,,18,18.976,33.774,22.33550635,31.256,21.2,41.623,23.499,45.338,31.77
1999,14.615,48.419,48.293,17.321,12.6,29.14368141,17.043,19.702,13.062,,19.943,13.1,9.8,14.7,43.274,11.2,42.76,46.442,28.158,8.8,22.271,18.532,11.546,9.3,30.431,,30.823,20.654,14.095,23.269,28.17,29.498,41.378,11.2,9.712223889,11,12.339,17.112,14.64,41.315,41.576,45.996,38.5,22.803,37.806,28.581,20.088,20.85076371,13.365,,15.48717949,13.731,8.7,9.4,32.206,,12.4,25.211,20.175,16.93663505,27.13554771,16.24871133,12.87175553,11.62672565,26.022,26.381,10.47276842,32.187,9.4,9,44.454,10.51156788,38.59216946,11.1,25.107,12.9,13.9,30.514,33.751,11.9,12.376,36.126,,44.651,43.061,42.174,41.28,9.4,18.939,16.8,35.893,22.343,26.262,12.23661392,7.8,34.647,43.25527203,10,32.236,9.2,20.12406924,23.88450502,37.86870302,37.31744782,21.788,38.14992699,,26.861,,14.4,18.081,36.136,14.8,21.5,9.4,21.908,32.003,9.3,14.57,40.212,21.5,28.989,31.044,,13,23.173,23.01509103,33.082,22.156,43.273,21.982,19.787,22.71668282,38.91943141,41.9863304,12.4,18.464,28.07124551,23.99575151,30.947,15.21818303,10.3,13,8.1,9.61,17.6,22.607,,11.847,41.918,22.68,25.07923502,24.272,41.8,22.3019501,13.333,48.779,11.4,24.733,25.15542184,13.836,19.853,,44.876,38.287,17.3,43.901,22.993,13.9052628,31.641,20.6,53.82,43.211,27.693,12.7,13.3,32.64,,14.87,13.41925134,25.063,28.35359911,35.424,23.758,23.839,29.887,13.2,34.25,9.9,43.69414099,15.6,18.426,11.4,27.746,41.4,29.72357571,11.48899915,20.687,19.599,10.4,8.3,40.35,28.15252399,27.002,39.847,39.519,12.8,35.848,44.383,25.843,,49.501,9.6,41.80743648,43.679,41.80450772,26.78871941,39.534,24.073,10.4,8.8,10,32.669,,18.2,31.693,,51.112,16.91753128,12.5781118,39.791,14.965,31.326,24.137,22.99038833,39.803,24.98499353,28.299,28.15252399,41.80450772,14.793,17.759,22.105,,41.663,48.837,7.8,16.67239855,16.566,14.2,22.40852714,20.525,24.159,,16.1,18.075,33.558,21.90951628,30.952,22.7,40.466,23.119,45.328,31.717
2000,14.173,48.021,48.15,16.436,11.3,28.70911478,16.494,19.499,12.91,,19.84,13,9.8,14.5,42.993,11.4,42.371,46.253,27.493,9,21.722,17.609,10.983,9.4,29.868,13.5,30.314,20.119,13.934,22.679,27.066,29.302,41.347,10.7,9.770927434,10.9,11.991,16.556,14.03,41.069,41.419,45.965,38.554,22.256,37.497,27.608,19.335,20.4168357,13.069,,15.39800995,13.2,8.9,9.3,31.48,,12.6,24.771,19.554,16.43590158,26.70213681,15.83183809,12.89718655,11.67683497,25.503,25.958,10.62807488,32.518,9.8,9.4,43.728,10.58687743,38.3922553,11,24.738,13.3,15.1,29.908,33.377,11.5,12.063,35.671,,44.21,42.682,41.828,41.136,9.6,18.444,15.6,35.341,21.936,25.704,12.34138739,8.1,33.829,42.95072661,9.8,31.777,9.6,19.73658023,23.53308721,37.47789464,36.93957016,21.773,37.75243533,,26.401,,14.4,17.654,35.821,15.3,21.7,9.5,21.372,31.709,9.4,14.92,40.037,19.8,28.058,30.579,,13.3,22.817,22.54118809,31.985,21.119,42.914,21.626,18.647,22.24887521,38.53872956,41.62526105,12.9,18.463,27.70540028,23.63890313,30.952,14.74986472,9.8,13.1,8.6,8.93,17.4,22.236,,11.298,41.275,21.385,24.64485984,23.85,,21.92251822,12.995,48.784,11.3,24.588,24.72912694,13.688,19.307,,44.769,38.14,17,43.727,21.98,14.03697913,30.866,21.4,53.541,43.156,27.054,13,13.2,31.547,,14.66,13.46075125,24.139,28.07015022,34.703,23.452,23.328,29.606,14.5,33.993,9.9,43.52502295,15.59,17.973,11.7,26.968,40.9,29.12007338,11.59747951,20.172,19.267,10.4,8.7,39.657,27.65449021,26.375,39.54,39.246,13.7,35.569,44.073,24.931,,49.024,9.8,41.59955845,43.081,41.59675385,26.45977413,39.589,23.735,10.2,9.1,10.2,32.318,,18.6,31.363,,50.941,16.41622907,12.6017865,39.833,14.524,30.624,23.601,22.51264817,39.547,24.55813911,28.248,27.65449021,41.59675385,14.724,17.297,21.672,,41.648,48.584,7.8,16.22936504,16.329,14.4,21.4024803,19.963,23.8,,14.4,17.429,33.384,21.6482774,30.616,22.8,39.517,22.854,45.271,31.776
2001,13.762,47.505,48.027,15.59,11.8,28.34776223,15.996,19.328,12.98,,19.635,12.7,9.4,13.6,42.849,11.2,42.002,46.031,26.818,8.5,21.166,16.811,10.438,9.2,29.271,13.3,29.795,19.547,13.78,22.088,26.012,29.163,41.286,10.7,9.436892194,10,11.645,16.092,13.38,40.77,41.298,45.931,38.575,21.705,37.221,26.8,18.648,19.98286241,12.743,,15.04232164,12.765,8.9,8.9,30.836,,12.2,24.356,19.257,15.92613185,26.28670231,15.30363858,12.87725644,11.53584812,24.97,25.578,10.39404262,33.17,9.9,9.1,42.902,10.35035015,38.17903098,10.8,24.393,13.1,13.6,29.227,33.08,11.3,11.875,35.214,,43.766,42.366,41.529,40.947,9.4,18.054,16.7,34.716,21.466,25.101,11.99325492,7.2,32.927,42.62657367,9.2,31.328,9.5,19.34227904,23.17950588,37.09632226,36.58242109,21.812,37.3581298,,25.944,,15,17.398,35.47,14.4,21.2,9.4,20.838,31.462,9.3,14.91,39.777,19.8,27.326,30.219,17.3,11.6,22.294,22.06245509,31.067,20.083,42.468,21.381,17.562,21.77187414,38.15237649,41.25519527,12.1,18.492,27.35847298,23.28288153,30.96,14.25224315,9,12.4,8.4,8.363,17.3,21.953,,10.832,40.591,20.439,24.29862537,23.43,,21.54305364,12.692,48.785,10.1,24.377,24.41124307,13.584,19.009,,44.607,37.984,16.5,43.574,20.983,13.76612789,30.208,19.9,53.24,43.083,26.508,12.6,12.6,30.398,,14.36,13.15496291,23.361,27.73639758,34.019,23.139,22.935,29.279,15.3,33.671,9.6,43.33929108,14.59,17.502,10.9,26.219,40.2,28.87133114,11.29928993,19.732,18.774,10,9.1,39,27.16103146,25.85,39.22,39.014,11.8,35.318,43.749,24.04,,48.496,10.5,41.38517239,42.483,41.38235628,26.11273208,39.602,23.414,9.5,8.8,10.3,32.1,,17.7,31.052,,50.722,15.90598664,12.55245157,39.842,14.118,30.081,23.286,22.03352152,39.223,24.2429548,28.302,27.16103146,41.38235628,14.739,16.934,21.219,,41.673,48.318,7.7,15.76575939,16.095,14.1,20.54723255,19.44,23.461,,13.1,17.031,33.25,21.30621504,30.29,21.7,38.754,22.715,45.143,31.963
2002,13.375,46.901,47.911,14.79,11.2,28.058919,15.514,19.175,13.208,,19.339,12.8,9.7,13.5,42.809,10.9,41.654,45.778,26.132,8.5,20.591,16.177,9.966,8.9,28.62,13.2,29.263,18.955,13.624,21.447,25.025,29.05,41.194,10.5,9.277037694,9.9,11.336,15.713,12.86,40.419,41.196,45.892,38.569,21.133,36.972,26.099,18.038,19.55426847,12.409,,13.73315745,12.421,9.1,8.7,30.217,15.4,11.9,23.959,19.27,15.5166301,25.90043672,14.90211496,13.1609314,11.62691636,24.441,25.258,10.33469071,34.019,10.1,9.4,42.012,10.28256924,37.96042845,10.7,24.058,12.9,15,28.502,32.865,11.3,11.815,34.772,,43.318,42.101,41.262,40.723,9.5,17.77,16.9,34.006,20.957,24.47,11.84547294,7.1,31.981,42.28716342,9,30.891,9.5,19.02168281,22.89207176,36.74916512,36.32534684,21.86,36.9648114,11.4,25.489,,15.4,17.278,35.104,14.1,21.2,9.4,20.334,31.248,9.3,15.29,39.468,20.2,26.793,29.947,17.3,10.2,21.77,21.58221605,30.314,19.071,41.958,21.246,16.58,21.29804296,37.76112166,40.88216514,11.7,18.535,27.04660456,22.99316534,30.935,13.8731925,8.6,12,8.7,7.951,17.3,21.727,,10.494,39.893,19.823,24.0587456,23.009,,21.23527866,12.406,48.767,9.9,24.089,24.19435246,13.511,18.969,,44.375,37.824,16.6,43.446,20.066,13.65581811,29.71,18.9,52.915,42.989,26.04,12.5,12.2,29.236,,13.67,12.99218092,22.747,27.53022048,33.376,22.832,22.65,28.89,13,33.31,9.3,43.13709141,13.7,17.011,11,25.534,39.6,28.61527312,11.19498621,19.342,18.11,9.7,9.8,38.406,26.67206612,25.398,38.88,38.834,11.4,35.079,43.402,23.21,,47.955,10.4,41.16760197,41.904,41.16479941,25.85252578,39.545,23.091,9.5,8.8,10.7,31.998,,17.7,30.797,,50.451,15.49750414,12.77980411,39.805,13.751,29.721,23.106,21.55632415,38.749,24.0288041,28.404,26.67206612,41.16479941,14.815,16.672,20.764,,41.718,48.04,8.1,15.40909337,15.853,14,21.07132599,18.965,23.137,,15.1,16.82,33.144,21.05291455,30.01,20.8,38.111,22.692,44.935,32.274
2003,13.01,46.231,47.786,14.048,10.3,27.83077871,15.024,19.026,13.524,,18.977,12.6,9.5,13.8,42.836,11,41.326,45.495,25.439,8.7,19.996,15.724,9.608,9,27.913,13.2,28.718,18.363,13.457,20.738,24.113,28.935,41.068,10.6,9.284178679,9.8,11.092,15.412,12.41,40.026,41.093,45.844,38.535,20.535,36.744,25.46,17.512,19.26424007,12.085,,14.29751687,12.153,9.2,8.6,29.58,,12,23.572,19.557,15.15848499,25.50888989,14.56641452,13.30900181,11.72148396,23.933,25.015,10.34517445,34.936,10.4,9.5,41.097,10.34458462,37.72115088,10.9,23.725,12.8,14.7,27.765,32.728,11.7,11.875,34.358,,42.866,41.875,41.01,40.468,9.6,17.583,15.5,33.212,20.435,23.836,11.8551406,6.9,31.029,41.93524041,8.9,30.465,9.3,18.72941126,22.61963973,36.37011972,35.97728949,21.88,36.56964983,,25.034,,15.4,17.259,34.742,14.3,21.7,9.5,19.881,31.047,9.2,16.63,39.135,20.9,26.44,29.745,,10.2,21.365,21.10875072,29.7,18.119,41.406,21.211,15.733,20.83489858,37.36612698,40.50907227,10.2,18.574,26.71886495,22.71655345,30.851,13.5414815,8.8,11.7,9.2,7.72,17.3,21.533,,10.305,39.206,19.492,23.90798256,22.584,,20.94103057,12.125,48.714,10.2,23.72,24.06353873,13.453,19.176,,44.067,37.66,15.9,43.336,19.276,13.75566865,29.398,18.2,52.568,42.868,25.635,12.3,12.4,28.105,,13.94,12.98107738,22.299,27.2912067,32.781,22.543,22.453,28.436,15.4,32.93,9.2,42.91640341,13.1,16.508,10.8,24.94,38.8,28.42112517,11.25567926,18.98,17.287,9.8,10.2,37.885,26.18711625,24.991,38.515,38.707,10.5,34.841,43.023,22.47,,47.434,10.6,40.94307524,41.359,40.94044786,25.64261541,39.401,22.755,9.6,8.7,11.1,31.979,,18.1,30.614,,50.127,15.14123476,12.90393684,39.714,13.423,29.552,22.996,21.0882874,38.077,23.90387222,28.498,26.18711625,40.94044786,14.927,16.511,20.325,,41.755,47.748,8.5,15.09547314,15.6,14.1,19.88672175,18.545,22.825,,14,16.734,33.054,20.83755578,29.794,18.3,37.532,22.763,44.642,32.694
